round_dir	round	rendered_at	note
round2	2	2026-09-14	fn-36 matched stills at the first fixed seed; pairs and stills stay on disk under the ignored measure/ directory, recorded here by sha256
round3	3	2026-09-14	fn-34 round 3: beech and birch value tables tuned against the round-2 pairs; matched stills re-rendered at the first fixed seed; pairs stay on disk under the ignored measure/ directory, recorded here by sha256
round4-fn37	4	2026-09-14	fn-37 round 4: the birch's table states the curtain as rows - hang 1, a 3.5 m pendulous run, 9 degrees between neighbouring shoots - over an envelope with almost no bare trunk and a shell retained to 0.45. The matched stills are re-rendered at the first fixed seed; the beech is untouched and its round-3 pairs still stand. Pairs stay on disk under the ignored measure/ directory and are recorded here by sha256. No visual verdict is awarded here; the owner judges.
round4-fn37b	4b	2026-09-15	fn-37 host QA: the hang rail widened to 3 so the droop can exceed the hidden mode's constant; birch at hang 2.4; pairs on disk under the ignored measure/pairs-fn37b/
round5-fn39	5	2026-09-15	fn-39 crown outline irregularity: the beech and the birch state an outline amplitude and wavelength; the beech's twig a shade shorter for node headroom; matched stills re-rendered at the first fixed seed; pairs on disk under the ignored measure/pairs-fn39/, recorded here by sha256
round5b-beech	5b	2026-09-15	fn-34 round 5b: the beech's habit rows set on the owner's round-5 verdict (apical dominance 0.5, lateral pitch 38, rise 0.3, crookedness 6); matched stills re-rendered at the first fixed seed; pairs on disk under the ignored measure/pairs-5b/, recorded here by sha256
round5c-beech	5c	2026-09-15	fn-34 round 5c: the beech's core trunk (length taper 0.3, fork exponent 1.8), limbs at 42 degrees; matched stills rendered at 1440 tall and paired at 720; pairs on disk under the ignored measure/pairs-5c/, recorded here by sha256
round6-fn38	6	2026-09-15	fn-38 multi-stem trees: the silver birch declares a clump of two stems, 110 degrees apart in bearing and 22 degrees out of vertical apiece; matched stills re-rendered at the first fixed seed; pairs on disk under the ignored measure/pairs-fn38/, recorded here by sha256
round6-fn45	6-fn45	2026-09-15	fn-45 round 6, final: the twig layer states its depth (skeleton.twigs.generations); the beech's leader carries the crown to nine tenths of the height (apical dominance 0.9) with limbs at 48 degrees rising over their run (0.45) and level side branches, crown base 0.05, widest at 0.48 of its depth with a round top, fork exponent 2.6 and taper 0.2, four twig laterals at length ratio 0.30, two-ranked local shoots, shoots under a twentieth of the trunk's radius leafed, leaves leaning along their shoots, lying flat and a tenth larger; matched stills rendered at 1440 tall and paired at 720; pairs on disk under the ignored measure/pairs-fn45/, recorded here by sha256
round6b-fn44	6b	2026-09-15	fn-44 pendulous shoots hang under gravity: a hanging shoot runs the pendulous length its table states rather than what its own wood would hold out, falls past the tip of the limb above it to the crown's own base, and turns toward straight down as a cubic ease so its lower half hangs all but vertical; the shell still contains it. The birch states a sag of 1 over a 2.5 m pendulous length, and its crown is opened to the photograph's own airiness with a leaf every 36 mm of shoot where it had one every 12. Matched stills re-rendered at the first fixed seed; pairs on disk under the ignored measure/pairs-fn44/, recorded here by sha256
round7-birch	7	2026-09-15	fn-34 integration: fn-38's two stems merged with fn-44's hanging curtain on the silver birch, then two rows of its table moved after the host's visual QA (crown base 0.015 -> 0.10, the sagging curtain's floor; twig internode 0.036 -> 0.06 m, leaf spacing); matched stills rendered at the first fixed seed; pairs on disk under the ignored measure/pairs-round7/, recorded here by sha256
round8-fn46	8	2026-09-15	fn-46: young shoots take their own colour. The material row gains a shoot colour and a shoot radius; the silver birch states a red-brown young wood (0.095/0.07/0.055 linear) below 1 cm radius, blending to its white bark by 2 cm, after one visual-QA correction from 0.10/0.06/0.045, which the still drew too red. Then fn-34's value pass on the birch's leaf rows: a lighter yellow-green blade (front 0.10/0.19/0.06, back 0.20/0.28/0.14) and interior darkening 0.4 -> 0.15, sourced from S-WHOLE's own leaf band. Geometry unchanged from round 7. Matched stills rendered at the first fixed seed; pairs on disk under the ignored measure/pairs-fn46/, recorded here by sha256
round8b-fn47	8b	2026-09-15	fn-47: each hanging shoot runs its own share of the pendulous length (skeleton.twigs.pendulousVariation); the silver birch states a variation of 0.95 over a pendulous length lengthened from 2.5 m to 3 m, strands from 0.15 m to 3 m, and after the host's QA a deeper, finer shell outline (irregularity 0.15 -> 0.35, lobe scale 0.45 -> 0.25) because the curtain fills to the shell's lower surface and that surface is the hem; matched stills rendered at the first fixed seed at 1440 tall; pairs on disk under the ignored measure/pairs-fn47/, recorded here by sha256; the round-7 table re-rendered on the same rig is under measure/pairs-fn47-base/
